,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,36213.5960383852,1311424538.03135,1020.106,972.473,1043.213,1024.597,1495.64,1480.023,94.446,89.087,176.394,114.933,458.178,459.058,81.987,117.241,116.829,64.564,2.605,5.968
0,34193.5284597393,1169197388.527,1024.043,971.787,1043.433,1026.691,1490.131,1475.644,95.333,80.15,175.067,114.185,461.738,459.415,81.794,119.035,114.075,60.861,3.247,6.573
0,34933.2783168157,1220333933.9601,1018.709,970.054,1034.546,1030.182,1489.115,1476.54,95.553,73.524,183.542,108.306,463.083,466.338,85.24,115.314,111.795,56.335,3.24,6.849
0,32300.526382965,1043324004.61662,1019.654,965.224,1042.298,1034.657,1490.152,1479.412,94.841,70.549,190.369,107.261,459.855,464.047,84.98,117.126,117.116,65.898,2.905,5.36
0,37001.4034100991,1369103854.31689,1025.398,962.496,1042.628,1037.679,1499.836,1486.571,96.419,70.469,188.927,100.993,459.172,473.847,89.362,107.361,110.709,65.72,3.31,5.226
0,38962.4812938476,1518074948.57343,1029.766,958.938,1050.564,1037.35,1493.581,1479.824,95.41,68.508,188.883,95.13,457.209,474.168,94.248,98.092,113.734,68.201,2.777,5.356
0,31157.7681029033,970806513.154297,1030.202,961.971,1049.894,1038.316,1491.009,1479.287,101.005,74.08,195.328,89.078,460.264,464.29,97.515,93.559,117.179,68.542,3.766,4.906
0,39012.7511073224,1521994748.96189,1030.441,970.44,1052.448,1038.992,1490.435,1487.485,110.341,69.393,192.08,81.026,462.214,465.469,101.593,96.748,124.231,53.222,4.201,4.368
0,26046.4116376995,678415559.20049,1034.477,978.471,1055.718,1044.676,1498.372,1487.332,110.632,72.25,185.537,89.611,455.452,463.133,99.976,96.204,120.822,49.612,4.098,4.639
0,35784.4142570635,1280524303.72113,1041.862,975.837,1058.462,1046.059,1493.797,1485.687,112.22,79.812,189.491,98.619,461.602,454.852,93.088,90.867,122.234,60.327,4.287,4.092
0,36028.3070874959,1298038911.59091,1038.564,974.172,1057.062,1050.734,1496.614,1480.553,107.791,90.392,190.092,101.173,461.407,450.073,97.25,99.82,117.97,59.076,4.661,3.251
0,29592.394672592,875709822.458451,1042.213,975.992,1060.99,1049.401,1484.77,1475.6,104.214,97.295,189.3,97.096,462.275,450.797,93.454,95.327,118.384,53.932,5.222,4.101
0,34085.2568513668,1161804734.62365,1049.477,976.222,1053.148,1048.565,1490.464,1469.647,113.69,98.7,186.812,102.34,472.466,446.724,96.301,100.824,122.004,56.711,4.784,4.73
0,39503.674853023,1560540326.89336,1050.792,976.742,1051.51,1049.814,1484.551,1463.959,117.619,97.289,190.429,100.341,472.154,441.966,88.775,100.52,134.416,58.18,4.102,3.826
0,4.10328789413027E+065,1.6836971542116E+131,1052.985,977.03,1056.066,1050.481,1482.968,1468.178,120.88,102.141,192.918,106.519,467.452,447.915,84.203,96.155,134.948,53.784,4.112,4.013
0,33795.3744400502,1142127333.5432,1049.277,981.395,1058.4,1047.628,1474.68,1467.654,119.373,102.22,194.398,97.072,472.913,444.591,83.966,99.729,130.281,58.45,3.435,4.486
0,33399.7717139568,1115544750.54443,1052.285,982.563,1064.646,1056.904,1475.641,1469.623,113.812,104.9,188.026,102.409,476.963,448.063,89.014,95.993,125.969,52.825,3.725,4.856
0,34797.9987989671,1210900720.41291,1056.749,989.072,1068.312,1055.873,1480.413,1467.115,116.133,102.622,179.717,99.489,483.967,441.6,92.974,102.369,130.817,56.396,4.013,5.121
0,37266.3969722738,1388784343.2951,1066.61,987.377,1072.47,1055.605,1474.321,1471.586,111.163,101.48,187.367,98.727,477.269,446.991,94.925,90.231,128.714,59.289,4.751,5.362
0,38726.7285566249,1499759504.6985,1067.987,981.788,1076.501,1053.844,1481.447,1473.26,118.7,100.52,185.068,101.424,481.324,439.576,101.994,90.109,133.234,67.795,4.334,4.96
0,26930.4718054917,725250311.666385,1067.224,984.67,1074.208,1051.141,1482.238,1472.511,114.957,103.15,183.906,102.777,479.63,435.714,104.006,87.061,139.475,66.284,5.166,5.777
0,38809.9019529172,1506208489.59505,1069.632,985.505,1068.283,1057.6,1473.04,1476.357,103.346,104.673,190.025,104.071,485.42,431.926,98.972,80.749,142.487,73.376,5.383,5.344
0,30165.6394521785,909965803.558827,1070.073,982,1071.354,1051.863,1468.587,1480.822,97.231,98.957,188.721,102.201,483.961,429.916,103.805,77.554,145.848,78.072,4.556,5.903
0,27306.3669499893,745637676.007471,1077.404,978.12,1072.39,1048.841,1482,1484.283,89.539,97.729,192.814,106.822,477.596,424.987,94.504,67.463,142.874,79.993,4.584,6.563
0,26892.6615101516,723215243.099589,1073.752,985.704,1061.876,1055.18,1486.854,1480.574,78.971,104.205,198.76,107.355,479.645,422.573,91.266,72.871,136.87,89.907,5.39,6.611
0,38379.0003936939,1472947671.21916,1067.711,989.283,1059.591,1054.618,1484.597,1479.66,71.927,114.699,194.971,114.13,481.737,419.995,90.705,70.606,139.195,84.212,5.524,6.553
0,28230.2689867203,796948087.062582,1067.064,996.904,1063.164,1053.625,1487.696,1481.323,66.714,116.409,185.329,115.31,476.441,423.68,88.06,69.516,136.252,82.563,5.214,6.525
0,26293.9693496385,691372824.159729,1066.387,1000.847,1071.187,1054.777,1490.858,1486.002,72.99,118.217,185.894,114.902,467.227,420.156,79.234,70.805,133.838,78.289,5.32,6.421
0,37580.7418604038,1412312158.7783,1065.415,998.434,1063.544,1050.722,1487.7,1485.666,71.469,128.432,183.26,108.205,466.899,423.737,76.034,71.75,129.546,71.068,5.075,6.523
0,36527.5526391053,1334262101.80261,1062.311,999.538,1062.138,1052.09,1484.477,1482.732,70.031,124.225,184.662,105.734,471.34,425.031,74.724,66.077,130.439,69.07,4.901,6.555
0,33125.8808896467,1097323984.71506,1056.487,999.941,1058.589,1049.208,1491.154,1479.75,66.116,122.408,181.057,111.133,465.545,421.053,74.917,68.737,127.33,67.705,5.128,6.024
0,40857.373772461,1669324991.58259,1050.78,1000.393,1058.206,1045.999,1488.899,1473.794,68.554,120.203,182.948,117.804,463.294,413.015,71.357,59.079,129.454,76.443,5.722,5.793
0,36017.3299912166,1297248059.69619,1050.315,996.178,1062.916,1058.225,1490.85,1478.766,66.726,122.001,171.358,112.636,460.326,415.583,73.242,57.966,126.029,82.874,5.517,5.978
0,33254.4857545625,1105860822.8004,1047.024,1001.138,1057.142,1051.122,1485.576,1474.538,66.183,115.305,172.558,119.653,462.826,412.449,76.463,64.381,131.804,81.516,6.319,5.977
0,33377.5076876249,1114058019.43746,1041.139,1002.876,1056.305,1051.985,1488.106,1478.92,67.126,111.515,170.539,112.306,464.073,405.906,68.491,61.297,130.384,80.58,6.817,6.366
0,28956.4987043698,838478817.216171,1049.712,1006.086,1056.175,1054.839,1486.206,1480.411,67.337,107.456,164.034,118.102,451.7,399.506,66.455,61.172,123.939,80.697,6.811,5.693
0,35976.3052749515,1294294541.2365,1059.957,1001.834,1060.124,1057.767,1492.351,1476.743,62.235,104.319,151.086,125.215,451.334,404.379,65.301,65.883,120.356,82.31,6.9,5.786
0,34707.0550004121,1204579666.80163,1057.401,1000.341,1062.706,1059.254,1485.169,1472.884,60.626,98.414,160.548,122.591,444.508,405.504,64.822,61.889,123.08,75.023,6.424,5.536
0,30467.9719764527,928297316.357906,1058.222,996.096,1061.211,1059.675,1481.428,1466.962,68.381,102.492,158.898,115.129,443.746,411.54,65.026,68.774,130.239,75.24,6.927,6.467
0,34846.502460799,1214278733.75047,1064.625,994.839,1062.22,1066.849,1479.35,1471.847,73.532,107.796,155.358,116.512,432.458,419.364,64.148,76.039,131.251,83.724,6.736,6.385
0,35156.2909786787,1235964795.37753,1063.084,990.136,1063.674,1071.983,1479.441,1476.481,74.833,102.63,158.953,115.286,428.03,415.712,65.032,83.473,138.203,88.081,6.501,5.418
0,40375.3854252145,1630171748.23462,1063.202,991.342,1059.844,1081.645,1473.603,1472.971,79.298,97.491,159.198,112.927,425.552,417.395,64.097,86.65,140.829,86.042,6.581,5.428
0,39096.7415821628,1528555202.34242,1057.357,996.043,1063.986,1087.479,1473.745,1477.573,81.494,92.922,156.71,111.374,431.569,419.006,59.378,88.25,145.874,91.782,6.838,5.649
0,38007.6717426139,1444583111.29429,1062.853,998.403,1072.018,1081.116,1470.011,1472.737,87.802,101.138,157.937,115.688,432.534,414.783,63.657,86.562,142.648,94.182,6.992,5.218
0,32783.9876926611,1074789849.03256,1065.48,997.918,1068.657,1082.771,1469.364,1469.491,87.979,103.911,168.118,115.385,444.229,415.753,65.14,97.446,146.986,101.784,6.766,4.244
0,30990.6586679231,960420924.671715,1059.42,996.144,1062.887,1076.884,1466.469,1462.838,88.273,106.879,170.016,113.918,447.514,415.131,50.843,90.434,146.508,105.216,6.18,4.197
0,22626.0671082206,511938912.785701,1056.209,994.921,1058.069,1076.578,1470.652,1471.671,89.364,114.519,177.866,115.917,444.785,419.23,48.436,94.889,156.904,101.894,6.95,4.07
0,33729.0469040479,1137648605.05547,1050.243,990.629,1056.023,1076.471,1467.587,1470.327,80.507,106.52,185.893,121.95,444.34,429.649,49.945,97.79,161.665,102.355,6.686,3.269
