error,t,p_x,p_y,p_z
0.40944628271801675,1614258694.112138,6.5862751560243025,4.847129845061077,1.4731006600794427
0.42466627063927564,1614258694.1321383,6.758295087140708,4.9913869019203005,1.4302305775196649
0.3701496025457256,1614258694.1521382,6.92821067347659,5.127718831248283,1.3897140400331385
0.4699815438970538,1614258694.1721382,7.096090242835816,5.255956075948119,1.3515263843590248
0.389196030918352,1614258694.1921382,7.261947836923242,5.3758657820303295,1.315513753577163
0.47576525202557574,1614258694.2121382,7.425750672263282,5.487177456982324,1.281435692857985
0.3989825903223947,1614258694.2321382,7.587431953067349,5.589610552652304,1.2490072555588867
0.4962374190834906,1614258694.2521381,7.746906639846369,5.682901379197248,1.2179362870318664
0.4022850698781444,1614258694.272138,7.9040854614116345,5.766817682609492,1.187956191234535
0.5118461365794229,1614258694.292138,8.058886232229284,5.841166685689365,1.158846892271033
0.40103521649613416,1614258694.312138,8.21124046219993,5.905792600348532,1.1304449508686187
0.5239157222670496,1614258694.332138,8.361095627398942,5.960569737652606,1.1026424729926412
0.39479905087940703,1614258694.352138,8.508414562482844,6.005398517354641,1.0753768365681173
0.5315154443070889,1614258694.372138,8.653171129115083,6.040196528253668,1.0486189988736476
0.6752535660703372,1614258694.3921382,8.7953440179044,6.064889874482029,1.022360419671355
0.3786024478697676,1614258694.4121382,8.934911379267536,6.079407806251991,0.9965988323578434
0.5365386795422451,1614258694.4321382,9.071846436922984,6.0836792794402,0.9713261851526049
0.32375688734776453,1614258694.4521382,9.206115171857702,6.077634650296336,0.9465192182050142
0.30734103241742017,1614258694.4721382,9.337674060996621,6.0612002384380075,0.9221377724933071
0.3470273622797144,1614258694.4921381,9.466468674064501,6.034304015920857,0.8981255835994131
0.5341118443342828,1614258694.5121381,9.59242819420139,5.996887045772022,0.8744175918305682
0.3276962406453684,1614258694.532138,9.715456807196517,5.948909270979724,0.8509537511514343
0.5294947770453713,1614258694.552138,9.835423062248516,5.890331006493929,0.827699734289226
0.30543097027144495,1614258694.572138,9.952165633176092,5.821133247256233,0.8046472638971823
0.5214064865654162,1614258694.592138,10.06549970346076,5.741324095779188,0.781814969364925
0.28243130231724456,1614258694.612138,10.175223259663507,5.65093605237608,0.75924837172303
0.5114767147254711,1614258694.6321383,10.281124090388325,5.550023279293974,0.7370165631217265
0.2585840025170201,1614258694.6521382,10.382985701200056,5.4386579762619185,0.7152074068611338
0.4992057601923994,1614258694.6721382,10.480591495677466,5.316927061152302,0.6939223587727812
0.23352582795401078,1614258694.6921382,10.573727143062756,5.184930558241426,0.673271531907262
0.4840307552803227,1614258694.7121382,10.662180183263528,5.0427793108610555,0.6533708921620925
0.7388037250858825,1614258694.7321382,10.745738596063141,4.890595623449715,0.6343400225674861
0.1926287099704561,1614258694.7521381,10.824187229762313,4.728514125351791,0.6163010278615548
0.1926287099704561,1614258694.7521381,10.824187229762313,4.728514125351791,0.6163010278615548
0.11806813821906748,1614258694.792138,10.964853338666268,4.375276473823925,0.5836932363275681
0.13469833346151394,1614258694.812138,11.026586931751877,4.184479246486415,0.569374938781695
0.21111660635598417,1614258694.832138,11.082238320445057,3.984509862507592,0.5565509701888248
0.4144371194623725,1614258694.852138,11.131524676506034,3.775614469396069,0.5453536597946389
0.2348083926870026,1614258694.872138,11.17414789140166,3.5580723005344215,0.535920598015088
0.4175022400589433,1614258694.8921382,11.209798993068372,3.3322026413697787,0.528395887889098
0.25792450746622714,1614258694.9121382,11.23816012259054,3.098368087001798,0.5229337970496394
0.4753366947297459,1614258694.9321382,11.258904735955417,2.856976890871118,0.5196994015473559
0.2773439624214256,1614258694.9521382,11.271699100199445,2.6084881571097296,0.5188614544684717
0.5296353199725992,1614258694.9721382,11.276203695606748,2.3534136355890816,0.5205828859063001
0.29349089295754166,1614258694.9921381,11.272074623531426,2.0923117916990526,0.5250147134208247
0.5803934014184404,1614258695.0121381,11.25897393916697,1.8257826035540445,0.5322873493722592
0.30743678219187676,1614258695.032138,11.236580712365198,1.5544587839692714,0.5425051459193296
0.6281116267561145,1614258695.052138,11.204604375054126,1.2789968893032961,0.5557417585065204
0.965150871921299,1614258695.072138,11.162793237837999,1.000067185496708,0.5720401626489894
0.3237290858362819,1614258695.092138,11.110936720876172,0.7183440323823095,0.5914173237159955
0.6920911908651938,1614258695.112138,11.048868107901296,0.4345005012840076,0.6138672846717294
0.29920178466512326,1614258695.1321383,10.976458023837079,0.14920486202337072,0.6393689862305517
0.30086014933350214,1614258695.1521382,10.89361600181945,-0.13687855713143324,0.6678869560211482
0.3317202492171362,1614258695.1721382,10.800288323498657,-0.42308727179076927,0.6993726989372021
0.7556228525636612,1614258695.1921382,10.696451708712093,-0.7087579743890021,0.7337679848989301
0.330396224234507,1614258695.2121382,10.582120530722575,-0.9932249608037637,0.7709984963463369
0.7777508894957044,1614258695.2321382,10.457337922534911,-1.2758183401790757,0.8109771740445587
0.32749242551786006,1614258695.2521381,10.322180091782592,-1.5558669470061692,0.8535980361258841
0.7948861350497383,1614258695.272138,10.176755952719592,-1.8327059389867228,0.8987286146142092
0.32279058549240947,1614258695.292138,10.021193059729317,-2.105685877844605,0.9462102379340251
0.8064952828044698,1614258695.312138,9.85563863616483,-2.3741934613580993,0.9958529281681042
0.31703078378313065,1614258695.332138,9.680242338748254,-2.6376659802742943,1.047442429575498
0.813377861814835,1614258695.352138,9.49513807463212,-2.895598815467139,1.1007524082982236
0.30911958698363806,1614258695.372138,9.300450246309806,-3.1475622787796884,1.155557284062495
0.8150214025261928,1614258695.3921382,9.096302555678397,-3.39321732570197,1.2116563620513592
1.3248635540877578,1614258695.4121382,8.882792872305,-3.6322953229594876,1.2689108329820096
0.2980850230423253,1614258695.4321382,8.660008160170777,-3.864590429026495,1.327245334148726
0.8148006420920857,1614258695.4521382,8.428039820133408,-4.089944955326095,1.3866380868615176
0.2441051595259669,1614258695.4721382,8.186991004444335,-4.308227960199952,1.447106694264199
0.23860740401105085,1614258695.4921381,7.936982424313162,-4.519315955674787,1.508689471236296
0.32118504529118375,1614258695.5121381,7.6781499802801,-4.723072970651067,1.5714299905831157
0.8144240115937369,1614258695.532138,7.410650897621867,-4.9193472604343516,1.6353580553902243
0.33196442577450425,1614258695.552138,7.13465818303395,-5.1079650873504345,1.700481262432484
0.8149704484952931,1614258695.572138,6.850356978950247,-5.288733110262094,1.7667804466876582
0.33865945974690015,1614258695.592138,6.557942511446974,-5.461447360807631,1.834208605154922
0.8156464611042236,1614258695.612138,6.257609190325569,-5.625894260480753,1.9026996728773522
0.3436119289486512,1614258695.6321383,5.949555851044074,-5.781870149630613,1.9721694446096396
0.8151319433907305,1614258695.6521382,5.633979821474721,-5.929184189263752,2.0425260258393654
0.3463225032162476,1614258695.6721382,5.311081747126747,-6.0676616000600765,2.1136797001320953
0.812332440566168,1614258695.6921382,4.981080020050082,-6.197141304397546,2.1855529687833526
0.34619342611143766,1614258695.7121382,4.644224498768085,-6.317459962044235,2.2580903232858898
0.8061836124333044,1614258695.7321382,4.300824102935463,-6.428447520483944,2.3312544671729762
1.3309665394577737,1614258695.7521381,3.951276671506943,-6.529916549092627,2.405020934160242
0.3354344791695021,1614258695.772138,3.5960874784086814,-6.621640627879586,2.4793762996603
0.7875500212748476,1614258695.792138,3.235892500618936,-6.703350163520262,2.5543021985383003
0.24745862707903576,1614258695.812138,2.8715033752901866,-6.774742118394273,2.6297392963891437
0.2452798073405571,1614258695.832138,2.503981020234994,-6.835517987173295,2.705526886605094
0.297709499089724,1614258695.852138,2.1346664245498257,-6.88539350111844,2.7813734103983077
0.7334455176271399,1614258695.872138,1.7651740347704155,-6.92411005764104,2.8568531556404677
0.26607421312336554,1614258695.8921382,1.397357186138289,-6.95154941299633,2.931385651093854
0.6866432466441081,1614258695.9121382,1.033198950130419,-6.967955709773962,3.0042027453843594
0.2218288221170649,1614258695.9321382,0.6746950175161638,-6.9739110393546415,3.074389128561549
0.6428759231199183,1614258695.9521382,0.3236738999361405,-6.970417533541112,3.1409216061708496
0.18998099456050588,1614258695.9721382,-0.0183414886105527,-6.958837059615208,3.202782609484215
0.56958350935183,1614258695.9921381,-0.3502310557626145,-6.940767847821252,3.2591028484137925
0.17485275252793842,1614258696.0121381,-0.6712700154315525,-6.917824062453809,3.3092372940612873
0.4984102773919955,1614258696.032138,-0.9810495485493959,-6.891420828032496,3.352759004307826
0.1977898548724153,1614258696.052138,-1.2793697350161883,-6.8626602460131725,3.389413816569435
0.4417847865696949,1614258696.072138,-1.5661467124495974,-6.832303291612362,3.41907099355728
0.7081172089995134,1614258696.092138,-1.8413635190858901,-6.800806060757939,3.441683840205229
0.24255926540030748,1614258696.112138,-2.105004654139773,-6.768389856853155,3.4572467290835833
0.4528188838435345,1614258696.1321383,-2.357049056446542,-6.735131153335982,3.4657728094299527
0.4582518237630482,1614258696.1521382,-2.59746634731511,-6.701047595658201,3.467278182029466
0.4658643838204055,1614258696.1721382,-2.826216825664985,-6.6661687936111305,3.4617729999921085
0.29368694083088487,1614258696.1921382,-3.043256924296129,-6.630585446664009,3.449259452926374
0.4823868283237043,1614258696.2121382,-3.248538534918835,-6.594474556040654,3.429730285432906
0.3054971715420125,1614258696.2321382,-3.4420146380424823,-6.5581022710140475,3.403172657884804
0.4844332805443021,1614258696.2521381,-3.6236424617653613,-6.521809776311124,3.36957187790247
0.30623369694189373,1614258696.272138,-3.793386881946791,-6.485985645631891,3.328916656013247
0.47682385508242664,1614258696.292138,-3.951233812657954,-6.4510239981497675,3.281211781101753
