x,y,z,t
10.828019141843969,-17.742379826422532,14.646488596945133,36.65
10.905465958624879,-17.768962698319175,14.696232316902165,36.66
10.982873179044192,-17.794869191922345,14.746046945613854,36.67
11.060243684194214,-17.82011826263079,14.795943450263009,36.68
11.137580755089486,-17.84472959194787,14.845932386411155,36.69
11.214888160697141,-17.8687234327757,14.896024390375684,36.7
11.292169993129239,-17.89212065298966,14.94623020575675,36.71
11.369430453302323,-17.914942147134628,14.9965619379595,36.72
11.446673636967189,-17.93720929407079,15.047031508930427,36.73
11.523903618281023,-17.958944442765485,15.097649263548991,36.74
11.60112475614085,-17.980170632850495,15.148424491163102,36.75
11.678341937464756,-18.00091107445097,15.199367094501838,36.76
11.755560337399013,-18.021189654078576,15.25048610304774,36.77
11.832785087951214,-18.0410306730206,15.301789874693675,36.78
11.910021047680656,-18.060458661237217,15.353286096115347,36.79
11.98727289359859,-18.079498268921885,15.404981890328665,36.8
12.064545522357873,-18.098173836656894,15.456885567969397,36.81
12.14184410253961,-18.116510202088868,15.509003866184546,36.82
12.219174051189073,-18.134532468597566,15.56134282733765,36.83
12.296540741449258,-18.152265900231487,15.613907957306667,36.84
12.373949243744997,-18.16973581109873,15.666704250135416,36.85
12.451404331423667,-18.18696746919935,15.719736311104475,36.86
12.528910738011204,-18.203986125957517,15.773007902087947,36.87
12.60647359138725,-18.22081679289118,15.826523750651237,36.88
12.684098267075646,-18.23748460113053,15.88028733894855,36.89
12.761790116499842,-18.254014704267327,15.934301082088329,36.9
12.839554272854338,-18.27043212215761,15.988566974243604,36.91
12.917395540991707,-18.286761625808076,16.043086191187285,36.92
12.995318623312228,-18.303027670697517,16.097859410649324,36.93
13.073328407677897,-18.3192543846685,16.15288693332674,36.94
13.151429920289944,-18.33546563573338,16.208168042242736,36.95
13.229628461027076,-18.351685110669727,16.263703549128984,36.96
13.307929060893905,-18.36793625294416,16.31949346422126,36.97
13.386336356568181,-18.384242138205988,16.37553706423438,36.98
13.464854732610469,-18.400625336214045,16.43183280729152,36.99
13.543488567675256,-18.417107801412584,16.48837820608918,37.0
13.622242442566833,-18.433711001550574,16.545170463176245,37.01
13.701121048454578,-18.45045600215856,16.602206740832628,37.02
13.78012924246171,-18.46736375608584,16.659486332605518,37.03
13.859271223000265,-18.484454336259127,16.717006584479766,37.04
